name,oxilean,lean4lean,class,oxilean_detail,lean4lean_detail
<quot>,absent,verified,only-one-side,,
Add,verified,verified,agree,,
Add.add,verified,verified,agree,,
Add.casesOn,verified,verified,agree,,
Add.ctorIdx,verified,verified,agree,,
Add.mk._flat_ctor,absent,verified,only-one-side,,
Add.mk.noConfusion,verified,verified,agree,,
Add.noConfusion,verified,verified,agree,,
Add.noConfusionType,verified,verified,agree,,
Add.recOn,verified,verified,agree,,
And,verified,verified,agree,,
And.casesOn,verified,verified,agree,,
And.intro._flat_ctor,absent,verified,only-one-side,,
And.left,verified,verified,agree,,
And.recOn,verified,verified,agree,,
And.right,verified,verified,agree,,
AndOp,verified,verified,agree,,
AndOp.and,verified,verified,agree,,
AndOp.casesOn,verified,verified,agree,,
AndOp.ctorIdx,verified,verified,agree,,
AndOp.mk._flat_ctor,absent,verified,only-one-side,,
AndOp.mk.noConfusion,verified,verified,agree,,
AndOp.noConfusion,verified,verified,agree,,
AndOp.noConfusionType,verified,verified,agree,,
AndOp.recOn,verified,verified,agree,,
AndThen,verified,verified,agree,,
AndThen.andThen,verified,verified,agree,,
AndThen.casesOn,verified,verified,agree,,
AndThen.ctorIdx,verified,verified,agree,,
AndThen.mk._flat_ctor,absent,verified,only-one-side,,
AndThen.mk.noConfusion,verified,verified,agree,,
AndThen.noConfusion,verified,verified,agree,,
AndThen.noConfusionType,verified,verified,agree,,
AndThen.recOn,verified,verified,agree,,
Append,verified,verified,agree,,
Append.append,verified,verified,agree,,
Append.casesOn,verified,verified,agree,,
Append.ctorIdx,verified,verified,agree,,
Append.mk._flat_ctor,absent,verified,only-one-side,,
Append.mk.noConfusion,verified,verified,agree,,
Append.noConfusion,verified,verified,agree,,
Append.noConfusionType,verified,verified,agree,,
Append.recOn,verified,verified,agree,,
Applicative,verified,verified,agree,,
Applicative.casesOn,verified,verified,agree,,
Applicative.ctorIdx,verified,verified,agree,,
Applicative.map._default,absent,verified,only-one-side,,
Applicative.mapConst._inherited_default,absent,verified,only-one-side,,
Applicative.mk._flat_ctor,absent,verified,only-one-side,,
Applicative.mk.noConfusion,verified,verified,agree,,
Applicative.noConfusion,verified,verified,agree,,
