a,T
0.5,0.3535533906
1,1
1.5,1.837117307
2,2.828427125
2.5,3.952847075
3,5.196152423
3.5,6.547900427
4,8
4.5,9.545941546
5,11.18033989
5.5,12.89864334
6,14.69693846
6.5,16.57181342
7,18.52025918
7.5,20.53959591
8,22.627417
8.5,24.78154555
9,27
9.5,29.28096651
10,31.6227766
10.5,34.02388867
11,36.48287269
11.5,38.9983974
12,41.56921938
12.5,44.19417382
13,46.87216658
13.5,49.60216729
14,52.38320341
14.5,55.21435502
15,58.09475019
15.5,61.02356102
16,64
16.5,67.02331684
17,70.09279564
17.5,73.20775232
18,76.36753237
18.5,79.57150872
19,82.81907993
19.5,86.10966845
20,89.4427191
