S,v
0.25,0.6666666667
0.5,1
0.75,1.2
1,1.333333333
1.25,1.428571429
1.5,1.5
1.75,1.555555556
2,1.6
2.25,1.636363636
2.5,1.666666667
2.75,1.692307692
3,1.714285714
3.25,1.733333333
3.5,1.75
3.75,1.764705882
4,1.777777778
4.25,1.789473684
4.5,1.8
4.75,1.80952381
5,1.818181818
5.25,1.826086957
5.5,1.833333333
5.75,1.84
6,1.846153846
6.25,1.851851852
6.5,1.857142857
6.75,1.862068966
7,1.866666667
7.25,1.870967742
7.5,1.875
7.75,1.878787879
8,1.882352941
8.25,1.885714286
8.5,1.888888889
8.75,1.891891892
9,1.894736842
9.25,1.897435897
9.5,1.9
9.75,1.902439024
10,1.904761905
