# llama3-8b-instruct: the per-tensor mixture llama.cpp produced for Q4_K_M.
#
# Generated from the shipped GGUF's tensor-info section; the file was quantized
# by llama.cpp, so these types are llama_tensor_get_type's real output.
# Tensors are listed in GGUF file (data-offset) order, which is the order the
# selector's running counters depend on.
#
# MODEL <label> <ftype> <arch> <n_layer> <n_head> <n_head_kv> <n_expert> <has_output>
# TENSOR <name> <n_dims> <ne0> <type>
MODEL llama3-8b-instruct Q4_K_M llama 32 32 8 0 true
TENSOR token_embd.weight 2 4096 Q4_K
TENSOR blk.0.attn_norm.weight 1 4096 F32
TENSOR blk.0.ffn_down.weight 2 14336 Q6_K
TENSOR blk.0.ffn_gate.weight 2 4096 Q4_K
TENSOR blk.0.ffn_up.weight 2 4096 Q4_K
TENSOR blk.0.ffn_norm.weight 1 4096 F32
TENSOR blk.0.attn_k.weight 2 4096 Q4_K
TENSOR blk.0.attn_output.weight 2 4096 Q4_K
TENSOR blk.0.attn_q.weight 2 4096 Q4_K
TENSOR blk.0.attn_v.weight 2 4096 Q6_K
TENSOR blk.1.attn_norm.weight 1 4096 F32
TENSOR blk.1.ffn_down.weight 2 14336 Q6_K
TENSOR blk.1.ffn_gate.weight 2 4096 Q4_K
TENSOR blk.1.ffn_up.weight 2 4096 Q4_K
TENSOR blk.1.ffn_norm.weight 1 4096 F32
TENSOR blk.1.attn_k.weight 2 4096 Q4_K
TENSOR blk.1.attn_output.weight 2 4096 Q4_K
TENSOR blk.1.attn_q.weight 2 4096 Q4_K
TENSOR blk.1.attn_v.weight 2 4096 Q6_K
TENSOR blk.2.attn_norm.weight 1 4096 F32
TENSOR blk.2.ffn_down.weight 2 14336 Q6_K
TENSOR blk.2.ffn_gate.weight 2 4096 Q4_K
TENSOR blk.2.ffn_up.weight 2 4096 Q4_K
TENSOR blk.2.ffn_norm.weight 1 4096 F32
TENSOR blk.2.attn_k.weight 2 4096 Q4_K
TENSOR blk.2.attn_output.weight 2 4096 Q4_K
TENSOR blk.2.attn_q.weight 2 4096 Q4_K
TENSOR blk.2.attn_v.weight 2 4096 Q6_K
TENSOR blk.3.attn_norm.weight 1 4096 F32
TENSOR blk.3.ffn_down.weight 2 14336 Q6_K
TENSOR blk.3.ffn_gate.weight 2 4096 Q4_K
TENSOR blk.3.ffn_up.weight 2 4096 Q4_K
TENSOR blk.3.ffn_norm.weight 1 4096 F32
TENSOR blk.3.attn_k.weight 2 4096 Q4_K
TENSOR blk.3.attn_output.weight 2 4096 Q4_K
TENSOR blk.3.attn_q.weight 2 4096 Q4_K
TENSOR blk.3.attn_v.weight 2 4096 Q6_K
TENSOR blk.4.attn_norm.weight 1 4096 F32
TENSOR blk.4.ffn_down.weight 2 14336 Q4_K
TENSOR blk.4.ffn_gate.weight 2 4096 Q4_K
TENSOR blk.4.ffn_up.weight 2 4096 Q4_K
TENSOR blk.4.ffn_norm.weight 1 4096 F32
TENSOR blk.4.attn_k.weight 2 4096 Q4_K
TENSOR blk.4.attn_output.weight 2 4096 Q4_K
TENSOR blk.4.attn_q.weight 2 4096 Q4_K
TENSOR blk.4.attn_v.weight 2 4096 Q4_K
TENSOR blk.5.attn_norm.weight 1 4096 F32
TENSOR blk.5.ffn_down.weight 2 14336 Q4_K
TENSOR blk.5.ffn_gate.weight 2 4096 Q4_K
TENSOR blk.5.ffn_up.weight 2 4096 Q4_K
TENSOR blk.5.ffn_norm.weight 1 4096 F32
